player_external_id,name,position,adp,adp_stdev
f0001,Filler QB0001,QB,3,1.5
f0013,Filler QB0013,QB,1.0,1.5
f0025,Filler QB0025,QB,8,2.0
f0037,Filler QB0037,QB,5,1.5
p001,Jalen Carter-Reid,QB,2,1.5
f0049,Filler QB0049,QB,10,2.29
f0061,Filler QB0061,QB,7,1.84
f0002,Filler RB0002,RB,4,1.5
f0003,Filler RB0003,RB,12,2.57
f0073,Filler QB0073,QB,9,2.15
f0009,Filler RB0009,RB,6,1.67
f0004,Filler WR0004,WR,14,2.82
f0014,Filler RB0014,RB,11,2.43
p002,Marcus Deveraux,RB,19,3.41
f0085,Filler QB0085,QB,16,3.07
f0005,Filler WR0005,WR,13,2.7
f0015,Filler RB0015,RB,21,3.63
f0010,Filler WR0010,WR,18,3.3
f0021,Filler RB0021,RB,15,2.95
f0011,Filler WR0011,WR,23,3.84
f0097,Filler QB0097,QB,20,3.52
f0016,Filler WR0016,WR,17,3.19
f0026,Filler RB0026,RB,25,4.05
f0017,Filler WR0017,WR,22,3.74
f0027,Filler RB0027,RB,30,4.53
p004,Andre Whitlock,WR,27,4.24
f0022,Filler WR0022,WR,24,3.95
f0109,Filler QB0109,QB,32,4.72
f0023,Filler WR0023,WR,29,4.44
f0033,Filler RB0033,RB,26,4.15
f0028,Filler WR0028,WR,34,4.9
f0038,Filler RB0038,RB,31,4.62
f0029,Filler WR0029,WR,28,4.34
f0121,Filler QB0121,QB,36,5.07
f0034,Filler WR0034,WR,33,4.81
f0039,Filler RB0039,RB,41,5.5
f0035,Filler WR0035,WR,38,5.25
p007,Desmond Achebe,WR,35,4.99
f0045,Filler RB0045,RB,43,5.66
f0040,Filler WR0040,WR,40,5.42
p014,Grant Ellery,QB,37,5.16
fa0012,FreeAgent 0012,QB,45,5.83
f0050,Filler RB0050,RB,42,5.58
f0041,Filler WR0041,WR,39,5.33
f0046,Filler WR0046,WR,47,5.98
f0051,Filler RB0051,RB,44,5.75
f0047,Filler WR0047,WR,52,6.37
f0057,Filler RB0057,RB,49,6.14
p003,Tyrell Boone,RB,46,5.91
fa0024,FreeAgent 0024,QB,54,6.52
f0052,Filler WR0052,WR,51,6.3
f0053,Filler WR0053,WR,48,6.06
f0062,Filler RB0062,RB,56,6.67
f0058,Filler WR0058,WR,53,6.45
f0063,Filler RB0063,RB,50,6.22
f0059,Filler WR0059,WR,58,6.82
fa0036,FreeAgent 0036,QB,55,6.6
f0064,Filler WR0064,WR,63,7.18
f0069,Filler RB0069,RB,60,6.96
p005,Kai Ostrander,WR,57,6.75
f0065,Filler WR0065,WR,65,7.32
f0074,Filler RB0074,RB,62,7.11
f0070,Filler WR0070,WR,59,6.89
fa0048,FreeAgent 0048,QB,67,7.46
f0075,Filler RB0075,RB,64,7.25
f0071,Filler WR0071,WR,61,7.04
p012,Hollis Trent,WR,69,7.59
f0076,Filler WR0076,WR,66,7.39
f0081,Filler RB0081,RB,74,7.93
f0077,Filler WR0077,WR,71,7.73
f0006,Filler TE0006,TE,68,7.53
fa0060,FreeAgent 0060,QB,76,8.06
f0086,Filler RB0086,RB,73,7.86
f0082,Filler WR0082,WR,70,7.66
p006,Bennett Shaw,TE,78,8.19
f0012,Filler TE0012,TE,75,8.0
f0083,Filler WR0083,WR,72,7.8
f0087,Filler RB0087,RB,80,8.32
f0018,Filler TE0018,TE,77,8.13
f0088,Filler WR0088,WR,85,8.64
f0093,Filler RB0093,RB,82,8.45
f0089,Filler WR0089,WR,79,8.26
f0024,Filler TE0024,TE,87,8.77
f0094,Filler WR0094,WR,84,8.58
f0098,Filler RB0098,RB,81,8.39
p010,Curtis Lamm,RB,89,8.89
f0030,Filler TE0030,TE,86,8.7
f0095,Filler WR0095,WR,83,8.52
f0099,Filler RB0099,RB,91,9.02
f0036,Filler TE0036,TE,88,8.83
f0100,Filler WR0100,WR,96,9.32
f0105,Filler RB0105,RB,93,9.14
f0101,Filler WR0101,WR,90,8.95
f0042,Filler TE0042,TE,98,9.44
p011,Emeka Sowande,RB,95,9.26
f0106,Filler WR0106,WR,92,9.08
f0110,Filler RB0110,RB,100,9.56
f0048,Filler TE0048,TE,97,9.38
f0107,Filler WR0107,WR,94,9.2
f0008,Filler DST0008,DST,102,9.68
f0111,Filler RB0111,RB,99,9.5
f0112,Filler WR0112,WR,107,9.97
f0054,Filler TE0054,TE,104,9.79
f0113,Filler WR0113,WR,101,9.62
f0117,Filler RB0117,RB,109,10.08
f0060,Filler TE0060,TE,106,9.91
f0020,Filler DST0020,DST,103,9.73
f0118,Filler WR0118,WR,111,10.2
f0122,Filler RB0122,RB,108,10.03
f0066,Filler TE0066,TE,105,9.85
f0119,Filler WR0119,WR,113,10.31
f0032,Filler DST0032,DST,110,10.14
f0007,Filler K0007,K,118,10.59
f0124,Filler WR0124,WR,115,10.42
f0072,Filler TE0072,TE,112,10.25
f0123,Filler RB0123,RB,120,10.7
f0019,Filler K0019,K,117,10.54
f0125,Filler WR0125,WR,114,10.37
p015,Damon Fitzhugh,WR,122,10.81
f0078,Filler TE0078,TE,119,10.65
f0129,Filler RB0129,RB,116,10.48
f0044,Filler DST0044,DST,124,10.92
f0031,Filler K0031,K,121,10.76
f0130,Filler WR0130,WR,129,11.19
f0084,Filler TE0084,TE,126,11.03
f0043,Filler K0043,K,123,10.87
fa0001,FreeAgent 0001,RB,131,11.3
f0131,Filler WR0131,WR,128,11.14
f0056,Filler DST0056,DST,125,10.98
f0055,Filler K0055,K,133,11.41
fa0003,FreeAgent 0003,WR,130,11.25
f0090,Filler TE0090,TE,127,11.08
fa0002,FreeAgent 0002,RB,135,11.51
p008,Rory Nakamura,K,132,11.35
f0067,Filler K0067,K,140,11.78
fa0004,FreeAgent 0004,WR,137,11.62
f0068,Filler DST0068,DST,134,11.46
f0096,Filler TE0096,TE,142,11.88
f0079,Filler K0079,K,139,11.72
fa0008,FreeAgent 0008,RB,136,11.57
fa0009,FreeAgent 0009,WR,144,11.98
p009,Seattle,DST,141,11.83
f0091,Filler K0091,K,138,11.67
f0102,Filler TE0102,TE,146,12.09
fa0010,FreeAgent 0010,WR,143,11.93
fa0013,FreeAgent 0013,RB,151,12.34
f0080,Filler DST0080,DST,148,12.19
f0103,Filler K0103,K,145,12.03
fa0015,FreeAgent 0015,WR,153,12.44
f0108,Filler TE0108,TE,150,12.29
f0115,Filler K0115,K,147,12.14
fa0014,FreeAgent 0014,RB,155,12.54
fa0016,FreeAgent 0016,WR,152,12.39
f0092,Filler DST0092,DST,149,12.24
f0114,Filler TE0114,TE,157,12.64
f0127,Filler K0127,K,154,12.49
fa0021,FreeAgent 0021,WR,162,12.89
fa0020,FreeAgent 0020,RB,159,12.74
fa0006,FreeAgent 0006,K,156,12.59
f0120,Filler TE0120,TE,164,12.99
fa0022,FreeAgent 0022,WR,161,12.84
f0104,Filler DST0104,DST,158,12.69
fa0025,FreeAgent 0025,RB,166,13.09
fa0018,FreeAgent 0018,K,163,12.94
fa0027,FreeAgent 0027,WR,160,12.79
f0126,Filler TE0126,TE,168,13.18
fa0030,FreeAgent 0030,K,165,13.04
fa0026,FreeAgent 0026,RB,173,13.43
fa0028,FreeAgent 0028,WR,170,13.28
f0116,Filler DST0116,DST,167,13.14
f0132,Filler TE0132,TE,175,13.52
fa0042,FreeAgent 0042,K,172,13.38
fa0033,FreeAgent 0033,WR,169,13.23
fa0032,FreeAgent 0032,RB,177,13.62
fa0054,FreeAgent 0054,K,174,13.47
fa0005,FreeAgent 0005,TE,171,13.33
fa0034,FreeAgent 0034,WR,179,13.71
f0128,Filler DST0128,DST,176,13.57
fa0037,FreeAgent 0037,RB,184,13.95
fa0039,FreeAgent 0039,WR,181,13.81
fa0011,FreeAgent 0011,TE,178,13.67
fa0040,FreeAgent 0040,WR,186,14.04
fa0007,FreeAgent 0007,DST,183,13.9
fa0038,FreeAgent 0038,RB,180,13.76
fa0017,FreeAgent 0017,TE,188,14.14
fa0045,FreeAgent 0045,WR,185,14.0
fa0044,FreeAgent 0044,RB,182,13.86
fa0046,FreeAgent 0046,WR,190,14.23
fa0023,FreeAgent 0023,TE,187,14.09
fa0019,FreeAgent 0019,DST,195,14.46
fa0051,FreeAgent 0051,WR,192,14.32
fa0049,FreeAgent 0049,RB,189,14.18
fa0029,FreeAgent 0029,TE,197,14.55
fa0052,FreeAgent 0052,WR,194,14.41
fa0031,FreeAgent 0031,DST,191,14.28
fa0050,FreeAgent 0050,RB,199,14.64
fa0035,FreeAgent 0035,TE,196,14.51
fa0057,FreeAgent 0057,WR,193,14.37
fa0056,FreeAgent 0056,RB,201,14.73
fa0058,FreeAgent 0058,WR,198,14.6
fa0041,FreeAgent 0041,TE,206,14.96
fa0043,FreeAgent 0043,DST,203,14.83
fa0047,FreeAgent 0047,TE,200,14.69
fa0055,FreeAgent 0055,DST,208,15.05
fa0053,FreeAgent 0053,TE,205,14.92
fa0059,FreeAgent 0059,TE,202,14.78
