player_external_id,name,position,team,season,scope,rec,rec_yd,rec_td,rush_yd,rush_td,pass_yd,pass_td,pass_int,floor_points,ceiling_points
p001,Jalen Carter-Reid,QB,PHI,2026,season,,,,,,4080.0,50.15,0.0,241.4,527.0
p002,Marcus Deveraux,RB,SF,2026,season,51.0,340.0,,1020.0,22.39,,,,171.7,513.4
p003,Tyrell Boone,RB,DET,2026,season,51.0,340.0,,1020.0,11.9,,,,102.0,467.5
p004,Andre Whitlock,WR,MIN,2026,season,85.0,1020.0,18.7,,,,,,187.0,448.8
p005,Kai Ostrander,WR,CIN,2026,season,85.0,1020.0,8.79,,,,,,139.4,389.3
p006,Bennett Shaw,TE,KC,2026,season,85.0,1020.0,4.81,,,,,,125.8,336.6
p007,Desmond Achebe,WR,BUF,2026,season,85.0,1020.0,15.01,,,,,,166.6,426.7
p008,Rory Nakamura,K,BAL,2026,season,,,,1428.0,,,,,85.0,221.0
p009,Seattle,DST,SEA,2026,season,,,,1343.0,,,,,34.0,272.0
p010,Curtis Lamm,RB,GB,2026,season,51.0,340.0,,1020.0,2.26,,,,151.3,258.4
p011,Emeka Sowande,RB,LAC,2026,season,51.0,340.0,,1020.0,0.0,,,,52.7,421.6
p012,Hollis Trent,WR,DAL,2026,season,85.0,1020.0,7.09,,,,,,136.0,357.0
p014,Grant Ellery,QB,ARI,2026,season,,,,,,4080.0,27.62,0.0,170.0,408.0
p015,Damon Fitzhugh,WR,TB,2026,season,85.0,1020.0,0.0,,,,,,76.5,273.7
f0001,Filler QB0001,QB,CHI,2026,season,,,,,,4080.0,61.2,0.0,244.8,652.8
f0002,Filler RB0002,RB,HOU,2026,season,51.0,340.0,,1020.0,25.5,,,,204.0,544.0
f0003,Filler RB0003,RB,JAX,2026,season,51.0,340.0,,1020.0,24.53,,,,200.5,534.8
f0004,Filler WR0004,WR,MIA,2026,season,85.0,1020.0,22.66,,,,,,193.8,516.8
f0005,Filler WR0005,WR,NO,2026,season,85.0,1020.0,21.98,,,,,,191.4,510.3
f0006,Filler TE0006,TE,TEN,2026,season,85.0,1020.0,5.66,,,,,,132.6,353.6
f0007,Filler K0007,K,CHI,2026,season,,,,1615.0,,,,,96.9,258.4
f0008,Filler DST0008,DST,HOU,2026,season,,,,1785.0,,,,,107.1,285.6
f0009,Filler RB0009,RB,JAX,2026,season,51.0,340.0,,1020.0,23.58,,,,197.1,525.5
f0010,Filler WR0010,WR,MIA,2026,season,85.0,1020.0,21.3,,,,,,188.9,503.7
f0011,Filler WR0011,WR,NO,2026,season,85.0,1020.0,20.66,,,,,,186.6,497.5
f0012,Filler TE0012,TE,TEN,2026,season,85.0,1020.0,4.76,,,,,,129.3,344.9
f0013,Filler QB0013,QB,CHI,2026,season,,,,,,4080.0,58.09,0.0,237.4,632.9
f0014,Filler RB0014,RB,HOU,2026,season,51.0,340.0,,1020.0,22.61,,,,193.6,516.3
f0015,Filler RB0015,RB,JAX,2026,season,51.0,340.0,,1020.0,21.64,,,,190.1,507.0
f0016,Filler WR0016,WR,MIA,2026,season,85.0,1020.0,19.98,,,,,,184.1,491.0
f0017,Filler WR0017,WR,NO,2026,season,85.0,1020.0,19.3,,,,,,181.7,484.4
f0018,Filler TE0018,TE,TEN,2026,season,85.0,1020.0,3.83,,,,,,126.0,335.9
f0019,Filler K0019,K,CHI,2026,season,,,,1575.9,,,,,94.6,252.1
f0020,Filler DST0020,DST,HOU,2026,season,,,,1705.1,,,,,102.3,272.8
f0021,Filler RB0021,RB,JAX,2026,season,51.0,340.0,,1020.0,20.69,,,,186.7,497.8
f0022,Filler WR0022,WR,MIA,2026,season,85.0,1020.0,18.61,,,,,,179.2,477.9
f0023,Filler WR0023,WR,NO,2026,season,85.0,1020.0,17.93,,,,,,176.8,471.4
f0024,Filler TE0024,TE,TEN,2026,season,85.0,1020.0,2.92,,,,,,122.7,327.2
f0025,Filler QB0025,QB,CHI,2026,season,,,,,,4080.0,54.96,0.0,229.8,612.8
f0026,Filler RB0026,RB,HOU,2026,season,51.0,340.0,,1020.0,19.72,,,,183.2,488.5
f0027,Filler RB0027,RB,JAX,2026,season,51.0,340.0,,1020.0,18.75,,,,179.7,479.3
f0028,Filler WR0028,WR,MIA,2026,season,85.0,1020.0,17.29,,,,,,174.4,465.1
f0029,Filler WR0029,WR,NO,2026,season,85.0,1020.0,16.61,,,,,,172.0,458.6
f0030,Filler TE0030,TE,TEN,2026,season,85.0,1020.0,2.01,,,,,,119.4,318.5
f0031,Filler K0031,K,CHI,2026,season,,,,1535.1,,,,,92.1,245.6
f0032,Filler DST0032,DST,HOU,2026,season,,,,1626.9,,,,,97.6,260.3
f0033,Filler RB0033,RB,JAX,2026,season,51.0,340.0,,1020.0,17.8,,,,176.3,470.0
f0034,Filler WR0034,WR,MIA,2026,season,85.0,1020.0,15.93,,,,,,169.5,452.1
f0035,Filler WR0035,WR,NO,2026,season,85.0,1020.0,15.25,,,,,,167.1,445.5
f0036,Filler TE0036,TE,TEN,2026,season,85.0,1020.0,1.1,,,,,,116.2,309.8
f0037,Filler QB0037,QB,CHI,2026,season,,,,,,4080.0,51.85,0.0,222.4,593.0
f0038,Filler RB0038,RB,HOU,2026,season,51.0,340.0,,1020.0,16.83,,,,172.8,460.8
f0039,Filler RB0039,RB,JAX,2026,season,51.0,340.0,,1020.0,15.86,,,,169.3,451.5
f0040,Filler WR0040,WR,MIA,2026,season,85.0,1020.0,14.57,,,,,,164.6,439.0
f0041,Filler WR0041,WR,NO,2026,season,85.0,1020.0,13.89,,,,,,162.2,432.5
f0042,Filler TE0042,TE,TEN,2026,season,85.0,1020.0,0.17,,,,,,112.8,300.8
f0043,Filler K0043,K,CHI,2026,season,,,,1496.0,,,,,89.8,239.4
f0044,Filler DST0044,DST,HOU,2026,season,,,,1547.0,,,,,92.8,247.5
f0045,Filler RB0045,RB,JAX,2026,season,51.0,340.0,,1020.0,14.91,,,,165.9,442.3
f0046,Filler WR0046,WR,MIA,2026,season,85.0,1020.0,13.23,,,,,,159.8,426.2
f0047,Filler WR0047,WR,NO,2026,season,85.0,1020.0,12.55,,,,,,157.4,419.7
f0048,Filler TE0048,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,109.5,292.1
f0049,Filler QB0049,QB,CHI,2026,season,,,,,,4080.0,48.76,0.0,214.9,573.1
f0050,Filler RB0050,RB,HOU,2026,season,51.0,340.0,,1020.0,13.91,,,,162.3,432.8
f0051,Filler RB0051,RB,JAX,2026,season,51.0,340.0,,1020.0,12.95,,,,158.8,423.5
f0052,Filler WR0052,WR,MIA,2026,season,85.0,1020.0,11.87,,,,,,154.9,413.2
f0053,Filler WR0053,WR,NO,2026,season,85.0,1020.0,11.19,,,,,,152.5,406.6
f0054,Filler TE0054,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,106.3,283.4
f0055,Filler K0055,K,CHI,2026,season,,,,1456.9,,,,,87.4,233.1
f0056,Filler DST0056,DST,HOU,2026,season,,,,1467.1,,,,,88.0,234.7
f0057,Filler RB0057,RB,JAX,2026,season,51.0,340.0,,1020.0,11.98,,,,155.3,414.3
f0058,Filler WR0058,WR,MIA,2026,season,85.0,1020.0,10.51,,,,,,150.0,400.1
f0059,Filler WR0059,WR,NO,2026,season,85.0,1020.0,9.86,,,,,,147.7,393.9
f0060,Filler TE0060,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,103.0,274.7
f0061,Filler QB0061,QB,CHI,2026,season,,,,,,4080.0,45.59,0.0,207.4,553.0
f0062,Filler RB0062,RB,HOU,2026,season,51.0,340.0,,1020.0,11.02,,,,151.9,405.0
f0063,Filler RB0063,RB,JAX,2026,season,51.0,340.0,,1020.0,10.06,,,,148.4,395.8
f0064,Filler WR0064,WR,MIA,2026,season,85.0,1020.0,9.18,,,,,,145.2,387.3
f0065,Filler WR0065,WR,NO,2026,season,85.0,1020.0,8.5,,,,,,142.8,380.8
f0066,Filler TE0066,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,99.7,265.7
